mal_id,url,name,name_kanji,nicknames,favorites,about,image_jpg_url,image_webp_url,image_webp_small_url
176534,https://myanimelist.net/character/176534/Hubert_von_Vestra,Hubert von Vestra,ヒューベルト,,6,"Hubert is a playable character in Fire Emblem: Three Houses. Hubert is a student at the Officers Academy who is from the Adrestian Empire and a member of the Black Eagles. At the start of the game, he is 20 years old.  (Source: Fire Emblem Wiki)  No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/images/characters/7/396113.jpg,https://cdn.myanimelist.net/images/characters/7/396113.webp,https://cdn.myanimelist.net/images/characters/7/396113t.webp
176535,https://myanimelist.net/character/176535/Sothis,Sothis,ソティス,,9,"Sothis is a mysterious individual, appearing as a young girl, though only to Byleth in dreams, whom she seems to have a special connection to.  Sothis first appears before Byleth in a dream, asking for their name and birthdate. By sheer coincidence, the two share the same birthday. However, she quickly falls back asleep and the dream ends.  Shortly after this dream, Byleth alongside their father Jeralt are asked by some young students to help them repel some bandits. While most are dispatched, the leader, Kostas manages to ambush Edelgard and Byleth leaps between the two. Just as Kostas's axe is about to strike Byleth, time suddenly stops as Sothis uses her power to freeze time. She berates Byleth for their recklessness but is suddenly shocked by the fact that she is now able to remember her name. Pondering Byleth's fate, the two realize that Sothis not only can pause time, but also rewind it, granting Byleth a second chance to redo their rescue, this time disarming Kostas. Sothis continues with Byleth, speaking directly to them telepathically, unseen by the rest of the world. She also grants them the usage of her time manipulation power she calls Divine Pulse.  She does not remember much about her origins, save the fact that the Red Canyon was once her home.  (Source: Fire Emblem Wiki)  No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/images/characters/12/396114.jpg,https://cdn.myanimelist.net/images/characters/12/396114.webp,https://cdn.myanimelist.net/images/characters/12/396114t.webp
176536,https://myanimelist.net/character/176536/Ares,Ares,アレス,,1,"Ares is a playable character from Fire Emblem: Genealogy of the Holy War. He is the son of Eldigan and Grahnye, and is the inheritor of the Demon Sword Mystletainn. In the events of the game, Ares is stationed at Darna alongside Lene, working under Javarro's band of mercenaries.  When Seliph's liberation army passes through the border, Ares leaves to fight with Javarro. Javarro confesses that Bramsel, the lord of Darna, has imprisoned either Lene, or Laylea, and urges him to forget about her. Ares, enraged, turns against Javarro, despite the latter having raised him after Grahnye's death. In order to save the imprisoned girl, Ares decided to join Seliph's army, albeit reluctantly, as he believes that his father was betrayed by Sigurd. He will later learn of the truth behind his father's death upon meeting Nanna, who explains that Sigurd had not betrayed Eldigan and that the two had always been friends despite how things had eventually turned out.  (Source: Fire Emblem Wiki)  No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/images/characters/3/396117.jpg,https://cdn.myanimelist.net/images/characters/3/396117.webp,https://cdn.myanimelist.net/images/characters/3/396117t.webp
176537,https://myanimelist.net/character/176537/Cyas,Cyas,サイアス,Saias,0,"Saias is a bishop of the Bragi Church with a high position in the court of Velthomer and one of the greatest tacticians in the history of Jugdral. He is kind and friendly to everyone he meets. As revealed in Chapter 22 of Thracia 776, Aida died protecting Saias from Manfroy, who sees him as a potential threat because of his Fjalar blood.  Some time after Mareeta falls victim to the Shadow Sword, Saias removes its curse and convinces her to get over fighting against Brigid, since she was possessed. He also convinces her to accept the Shadow Sword because she must love all blades to be a true swordmaster, and it becomes Mareeta's Sword, a personal weapon for her. In Chapter 23, Ced gives the Bragi Sword to Saias, who in turn passes it to Leif.  He appears twice as an enemy prior to his recruitment and his presence greatly boosts the fighting abilities of his allies, since he is very charismatic. If Ced is recruited during Chapter 23, Saias will leave Leif's army to travel to Bragi Tower without giving his reasons as to why.  After the liberation war, his talent is recognized by Seliph, and Saias enters the service of Grannvale. He also greatly contributes to its reconstruction.  (Source: Fire Emblem Wiki)  No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/images/characters/9/396120.jpg,https://cdn.myanimelist.net/images/characters/9/396120.webp,https://cdn.myanimelist.net/images/characters/9/396120t.webp
176538,https://myanimelist.net/character/176538/Riff,Riff,リフ,Wrys,1,"Wrys is a playable character from the Archanea Series of Fire Emblem. A curate from Talys, Wrys joins Marth to defend his country from the invasion of the Galder Pirates.  (Source: Fire Emblem Wiki)  No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/images/characters/12/396126.jpg,https://cdn.myanimelist.net/images/characters/12/396126.webp,https://cdn.myanimelist.net/images/characters/12/396126t.webp
176539,https://myanimelist.net/character/176539/Clive,Clive,クレーベ,,0,"Clive, a young man of the upper aristocracy and a social knight, is the first leader of the Zofia libertation army, the Deliverance. He was originally the captain of the Order of the Zofia, but with the coup d’etat of chancellor Desaix, through suggestion of his lover Mathilda, they founded the Deliverance, along with Fernand.  Being harassed by Desaix's forces, Clive and the Deliverance were forced to take refuge in a cursed graveyard, making the haunted grounds a makeshift headquarters. His bride Mathilda and his younger sister Clair were kidnapped during one of the battles, and the failed attempts to rescue Mathilda let him shaken and doubting his own leadership qualities, resulting of the whole army being also down.  When Alm and his group arrive at the Deliverance Hideout, Clive heartily greets them, grateful to them for rescuing his sister. Clive was disappointed that Mycen would not join the rebellion, but decides that, with the increasing number of commoners joining the Deliverance, he should cede the Deliverance's leadership to Alm, the grandson of the legendary knight Mycen, as he believes that Mycen's story of rising above his common birth to become a knight and count of Zofia resonates with the commoners, and Mycen's grandson would be better suited to lead them. Fernand is outraged by this, and abandons the Deliverance on the spot, rather than allow himself to be led by a common villager such as Alm.  (Source: Fire Emblem Wiki)  No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/images/characters/2/396127.jpg,https://cdn.myanimelist.net/images/characters/2/396127.webp,https://cdn.myanimelist.net/images/characters/2/396127t.webp
176540,https://myanimelist.net/character/176540/Siegbert,Siegbert,ジークベルト,,0,"Siegbert is the son of Xander and the cousin of Forrest, as well as one of the two paternal grandsons of Garon. Like the other children of Fates, Siegbert was placed in the Deeprealms to keep him safe from the war. Siegbert became particularly close to his father and would spend his days learning all he could from swordsmanship to penmanship in an attempt to impress his father whenever he would visit. He also would regularly receive news of his father's efforts in the war.  (Source: Fire Emblem Wiki)  No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/images/characters/5/396128.jpg,https://cdn.myanimelist.net/images/characters/5/396128.webp,https://cdn.myanimelist.net/images/characters/5/396128t.webp
176541,https://myanimelist.net/character/176541/Karel,Karel,カレル,Sword Demon,0,"Born in a family where only one can inherit the sword, and killed each other over it, Karel cut down his father and mother, and was a sole survivor, with the exception of his sister, whom he saw as no threat at the time. Afterwards, as if possessed by the sword, he went and slew Kelles –the Rock Giant of the Western Isles (said to be three times the size of a regular man), as well as Ilia’s Ice Emperor (a wizard that could freeze blood in a person's veins) among other strong opponents. From these feats, he earned infamy across Elibe, as well as the fearsome reputation as the ""Sword Demon"".  He encountered Eliwood while wandering and seeking opponents to fight, and joined his group in order to observe his skill.  (Source: Fire Emblem Wiki)  No voice actors have been added to this character. Help improve our database by searching for a voice actor, and adding this character to their roles .",https://cdn.myanimelist.net/images/characters/16/396129.jpg,https://cdn.myanimelist.net/images/characters/16/396129.webp,https://cdn.myanimelist.net/images/characters/16/396129t.webp
62399,https://myanimelist.net/character/62399/Tsugumi_Haraki,Tsugumi Haraki,原木 つぐみ,,2,,https://cdn.myanimelist.net/images/characters/15/191264.jpg,https://cdn.myanimelist.net/images/characters/15/191264.webp,https://cdn.myanimelist.net/images/characters/15/191264t.webp
62401,https://myanimelist.net/character/62401/Ringo_Nishijima,Ringo Nishijima,西島 りんご,,1,She is part of the editorial staff.,https://cdn.myanimelist.net/images/characters/11/193159.jpg,https://cdn.myanimelist.net/images/characters/11/193159.webp,https://cdn.myanimelist.net/images/characters/11/193159t.webp
