manga_id,title,type,score,scored_by,status,volumes,chapters,start_date,end_date,members,favorites,sfw,approved,real_start_date,real_end_date,genres,themes,demographics
2,Berserk,manga,9.47,319696,currently_publishing,,,1989-08-25,,643969,119470,True,True,1989-08-25,,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","['Gore', 'Military', 'Mythology', 'Psychological']",['Seinen']
13,One Piece,manga,9.22,355375,currently_publishing,,,1997-07-22,,579557,111462,True,True,1997-07-22,,"['Action', 'Adventure', 'Fantasy']",[],['Shounen']
1706,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,manga,9.3,151433,finished,24,96,2004-01-19,2011-04-19,248511,41713,True,True,2004-01-19,2011-04-19,"['Action', 'Adventure', 'Mystery', 'Supernatural']",['Historical'],"['Seinen', 'Shounen']"
4632,Oyasumi Punpun,manga,9.02,168459,finished,13,147,2007-03-15,2013-11-02,413897,49361,True,True,2007-03-15,2013-11-02,"['Drama', 'Slice of Life']",['Psychological'],['Seinen']
25,Fullmetal Alchemist,manga,9.03,153151,finished,27,116,2001-07-12,2010-09-11,284027,29634,True,True,2001-07-12,2010-09-11,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",['Military'],['Shounen']
656,Vagabond,manga,9.24,129688,on_hiatus,37,327,1998-09-03,2015-05-21,350026,38229,True,True,1998-09-03,2015-05-21,"['Action', 'Adventure', 'Award Winning']","['Historical', 'Samurai']",['Seinen']
642,Vinland Saga,manga,9.05,119797,currently_publishing,,,2005-04-13,,282711,31157,True,True,2005-04-13,,"['Action', 'Adventure', 'Award Winning', 'Drama']",['Historical'],['Seinen']
90125,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,manga,8.92,123341,finished,28,281,2015-05-19,2022-11-02,256755,28120,True,True,2015-05-19,2022-11-02,"['Award Winning', 'Comedy']","['Romantic Subtext', 'School']",['Seinen']
116778,Chainsaw Man,manga,8.75,350057,currently_publishing,,,2018-12-03,,569114,77718,True,True,2018-12-03,,"['Action', 'Award Winning', 'Supernatural']",['Gore'],['Shounen']
1,Monster,manga,9.15,90296,finished,18,162,1994-12-05,2001-12-20,228361,19921,True,True,1994-12-05,2001-12-20,"['Award Winning', 'Drama', 'Mystery']","['Adult Cast', 'Psychological']",['Seinen']
56805,Koe no Katachi,manga,8.86,141466,finished,7,64,2013-08-07,2014-11-19,260905,22094,True,True,2013-08-07,2014-11-19,"['Award Winning', 'Drama']",['Romantic Subtext'],['Shounen']
44347,One Punch-Man,manga,8.75,224983,currently_publishing,,,2012-06-14,,457481,37439,True,True,2012-06-14,,"['Action', 'Comedy']","['Parody', 'Super Power']",['Seinen']
3,20th Century Boys,manga,8.95,81920,finished,22,249,1999-09-27,2006-04-24,236837,18621,True,True,1999-09-27,2006-04-24,"['Award Winning', 'Drama', 'Mystery', 'Sci-Fi']","['Historical', 'Psychological']",['Seinen']
21,Death Note,manga,8.7,219625,finished,12,108,2003-12-01,2006-05-15,381620,31326,True,True,2003-12-01,2006-05-15,"['Supernatural', 'Suspense']",['Psychological'],['Shounen']
35243,Haikyuu!!,manga,8.84,99709,finished,45,407,2012-02-20,2020-07-20,207367,17677,True,True,2012-02-20,2020-07-20,"['Award Winning', 'Sports']","['School', 'Team Sports']",['Shounen']
121496,Solo Leveling,manhwa,8.68,252925,finished,,201,2018-03-04,2023-05-31,435457,40236,True,True,2018-03-04,2023-05-31,"['Action', 'Adventure', 'Fantasy']",[],[]
51,Slam Dunk,manga,9.08,70877,finished,31,276,1990-09-18,1996-06-04,157962,14970,True,True,1990-09-18,1996-06-04,"['Award Winning', 'Sports']","['School', 'Team Sports']",['Shounen']
26,Hunter x Hunter,manga,8.73,118830,currently_publishing,,,1998-03-03,,257780,22642,True,True,1998-03-03,,"['Action', 'Adventure', 'Fantasy']",[],['Shounen']
70345,Grand Blue,manga,9.03,63438,currently_publishing,,,2014-04-07,,167755,16809,True,True,2014-04-07,,['Comedy'],[],['Seinen']
100448,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",manga,8.79,82303,finished,3,18,2016-08-10,2017-10-25,153674,13042,True,True,2016-08-10,2017-10-25,['Drama'],[],['Shounen']
336,GTO,manga,8.89,63074,finished,25,208,1996-12-11,2002-01-30,160614,10965,True,True,1996-12-11,2002-01-30,"['Action', 'Award Winning', 'Comedy', 'Drama', 'Ecchi']","['Delinquents', 'School', 'Workplace']",['Shounen']
16765,Kingdom,manga,9.0,58247,currently_publishing,,,2006-01-26,,161094,14285,True,True,2006-01-26,,"['Action', 'Award Winning']","['Historical', 'Military']",['Seinen']
23390,Shingeki no Kyojin,manga,8.55,394362,finished,34,141,2009-09-09,2021-04-09,635373,68609,True,True,2009-09-09,2021-04-09,"['Action', 'Award Winning', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen']
78523,ReLIFE,manga,8.65,77620,finished,15,238,2013-10-12,2018-03-16,156110,11940,True,True,2013-10-12,2018-03-16,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",['School'],[]
104,Yotsuba to!,manga,8.88,52318,currently_publishing,,,2003-03-21,,146934,15597,True,True,2003-03-21,,"['Award Winning', 'Comedy', 'Slice of Life']","['Childcare', 'Iyashikei']",[]
119161,Spy x Family,manga,8.58,119325,currently_publishing,,,2019-03-25,,286531,19942,True,True,2019-03-25,,"['Action', 'Comedy']",['Childcare'],['Shounen']
145863,Sayonara Eri,manga,8.7,60899,finished,1,,2022-04-11,2022-04-11,93524,4718,True,True,2022-04-11,2022-04-11,['Drama'],[],['Shounen']
33327,Tokyo Ghoul,manga,8.52,260758,finished,14,144,2011-09-08,2014-09-18,480001,43505,True,True,2011-09-08,2014-09-18,"['Action', 'Fantasy', 'Horror']","['Gore', 'Psychological']",['Seinen']
113138,Jujutsu Kaisen,manga,8.53,157446,currently_publishing,,,2018-03-05,,354285,27088,True,True,2018-03-05,,"['Action', 'Supernatural']",['School'],['Shounen']
91941,Made in Abyss,manga,8.77,50616,currently_publishing,,,2012-10-20,,151643,9972,True,True,2012-10-20,,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",[],[]
126146,"""Oshi no Ko""",manga,8.68,58169,currently_publishing,,,2020-04-23,,150556,12106,True,True,2020-04-23,,"['Drama', 'Supernatural']","['Reincarnation', 'Showbiz']",['Seinen']
21525,Akatsuki no Yona,manga,8.82,46170,currently_publishing,,,2009-08-05,,128650,13645,True,True,2009-08-05,,"['Action', 'Adventure', 'Fantasy', 'Romance']",[],['Shoujo']
1133,Dorohedoro,manga,8.68,51906,finished,23,190,2000-11-30,2018-09-12,162391,12470,True,True,2000-11-30,2018-09-12,"['Action', 'Comedy', 'Fantasy', 'Horror']",['Gore'],['Seinen']
44489,Houseki no Kuni,manga,8.96,37016,currently_publishing,,,2012-10-25,,118199,13163,True,True,2012-10-25,,"['Action', 'Drama', 'Fantasy']",['Anthropomorphic'],['Seinen']
28,Nana,manga,8.79,40952,on_hiatus,21,84,2000-05-26,2009-05-26,129733,10846,True,True,2000-05-26,2009-05-26,"['Award Winning', 'Drama', 'Romance']","['Adult Cast', 'Love Polygon', 'Music']",['Shoujo']
114745,Blue Lock,manga,8.55,66488,currently_publishing,,,2018-08-01,,151572,11705,True,True,2018-08-01,,"['Award Winning', 'Sports']",['Team Sports'],['Shounen']
